observation_date,latitude,longitude,methane_column_ppb,quality_flag,country_code
2023-06-01,41.32974,-72.05911,1914.9116,1.0,USA
2023-06-01,41.354687,-71.96855,1929.7242,1.0,USA
2023-06-01,41.40349,-71.7889,1923.4032,1.0,USA
2023-06-01,41.427364,-71.699776,1921.3099,1.0,USA
2023-06-01,41.450905,-71.61109,1915.7585,1.0,USA
2023-06-01,41.844185,-69.985115,1923.078,1.0,USA
2023-06-01,41.916183,-69.65091,1915.3665,1.0,USA
2023-06-01,39.262215,-78.00198,1917.7473,1.0,USA
2023-06-01,39.334774,-77.83317,1919.0355,1.0,USA
2023-06-01,39.405132,-77.66801,1925.3546,1.0,USA
2023-06-01,39.53969,-77.347984,1924.9177,1.0,USA
2023-06-01,39.604076,-77.192795,1923.3295,1.0,USA
2023-06-01,39.90048,-76.45967,1918.5975,1.0,USA
2023-06-01,39.95516,-76.32077,1916.8462,1.0,USA
2023-06-01,40.008453,-76.18419,1918.6552,1.0,USA
2023-06-01,40.111115,-75.917625,1915.0482,1.0,USA
2023-06-01,40.160583,-75.78747,1919.8679,1.0,USA
2023-06-01,40.347145,-75.28581,1925.3246,1.0,USA
2023-06-01,40.391167,-75.16479,1918.2474,1.0,USA
2023-06-01,40.476334,-74.927536,1915.9963,1.0,USA
2023-06-01,40.557888,-74.6963,1923.7023,1.0,USA
2023-06-01,40.59739,-74.582794,1918.665,1.0,USA
2023-06-01,40.636078,-74.47064,1920.406,1.0,USA
2023-06-01,40.673985,-74.35978,1918.6409,1.0,USA
2023-06-01,40.711132,-74.25016,1950.8134,1.0,USA
2023-06-01,40.747547,-74.141754,1933.3632,1.0,USA
2023-06-01,40.783253,-74.0345,1926.1458,1.0,USA
2023-06-01,40.818275,-73.92837,1925.2357,1.0,USA
2023-06-01,40.85263,-73.82331,1927.6787,1.0,USA
2023-06-01,41.274418,-72.44635,1946.6434,1.0,USA
2023-06-01,41.30094,-72.35349,1930.2731,1.0,USA
2023-06-01,41.32706,-72.26123,1926.7222,1.0,USA
2023-06-01,41.352783,-72.16953,1916.9116,1.0,USA
2023-06-01,41.378117,-72.07838,1917.1638,1.0,USA
2023-06-01,41.403072,-71.98775,1925.6719,1.0,USA
